time,comment,newsLocationPerson,mediaNum,newsNum,joinLocalNum,agree,totalHot,h1,h2,h3
2017-08-02,2770,109,0,0,30,1229,517.73484175,12.31424495,517.73484175,505.4205968
2017-08-03,1429,60,0,0,28,2202,500.13107728999995,7.024529599999999,500.13107728999995,493.10654768999996
2017-08-04,87,4,0,0,22,548,92.26473596999999,0.8995771,92.26473596999999,91.36515886999999
2017-08-05,12,0,0,0,4,15,3.7091472199999997,0.0856838,3.7091472199999997,3.6234634199999998
2017-08-06,19,0,0,0,10,27,6.432996589999999,0.2142095,6.432996589999999,6.218787089999999
2017-08-07,21,0,0,0,11,68,12.763870260000001,0.23563045000000002,12.763870260000001,12.52823981
2017-08-08,184,4,0,0,25,2778,434.12676558999993,0.9638399500000001,434.12676558999993,433.16292563999997
2017-08-09,44,0,0,0,13,173,31.05162109,0.27847235000000004,31.05162109,30.77314874
2017-08-10,29,1,0,0,15,192,32.26660799,0.42839330000000003,32.26660799,31.838214689999997
2017-08-11,7,0,0,0,6,45,7.61431407,0.12852570000000002,7.61431407,7.48578837
2017-08-12,3,0,0,0,3,1,0.56258998,0.06426285000000001,0.56258998,0.49832713
2017-08-13,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-08-14,23,1,0,0,13,61,12.109840729999998,0.38555140000000004,12.109840729999998,11.72428933
2017-08-15,3,0,0,0,3,1,0.56258998,0.06426285000000001,0.56258998,0.49832713
2017-08-16,158,4,0,0,21,1026,171.36739433000002,0.87815615,171.36739433000002,170.48923818
2017-08-17,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-08-20,2,0,0,0,2,0,0.27626272,0.0428419,0.27626272,0.23342082
2017-08-21,3,0,0,0,2,0,0.39297313,0.0428419,0.39297313,0.35013123
2017-08-22,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-14,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-18,2,0,0,0,1,0,0.25484177,0.02142095,0.25484177,0.23342082
2017-09-21,1,0,0,0,0,0,0.11671041,0,0.11671041,0.11671041
2017-09-22,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-09-30,1,0,0,0,1,1,0.28632726,0.02142095,0.28632726,0.26490631
2017-10-07,2,0,0,0,1,0,0.25484177,0.02142095,0.25484177,0.23342082
2017-11-28,9,0,0,0,2,96,15.32004199,0.0428419,15.32004199,15.27720009
2017-11-29,2,0,0,0,1,6,1.14401717,0.02142095,1.14401717,1.12259622
2017-12-02,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-12-07,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-12-11,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-12-17,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-12-23,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2018-01-03,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2018-03-28,2,1,0,0,2,2,0.6797335699999999,0.14992095,0.6797335699999999,0.52981262
2018-03-29,1,1,0,0,1,1,0.39340631,0.1285,0.39340631,0.26490631
