time,comment,newsLocationPerson,mediaNum,newsNum,joinLocalNum,agree,totalHot,h1,h2,h3
2017-06-14,661,24,4,4,29,2123,396.06298145999995,4.29750475,394.95658146,392.8718767099999
2017-06-15,27,1,1,1,9,103,18.99182637,0.5764676,18.715226369999996,18.69195877
2017-06-16,1151,23,3,4,27,17438,2722.4722916099995,3.8985054999999997,2721.6149699099997,2719.4311078099995
2017-06-17,486,12,2,2,29,8845,1369.9733509099997,2.4593561499999996,1369.4201509099998,1368.0671947599997
2017-06-18,497,15,2,2,27,3040,511.25836117000006,2.7377513999999996,510.70516117000005,509.07380977
2017-06-19,32,0,2,2,12,53,12.39936722,0.8102514000000001,11.84616722,12.14231582
2017-06-20,22,0,0,0,9,122,20.840317369999998,0.19278855,20.840317369999998,20.647528819999998
2017-06-21,331,12,1,1,25,5680,882.48093006,2.09707235,882.2043300600001,880.66045771
2017-06-22,842,29,0,0,28,1210,281.29228327,3.70507905,281.29228327,277.58720422
2017-06-23,78,5,0,0,22,141,31.00569003,1.00665615,31.00569003,29.99903388
2017-06-24,6,0,0,0,3,14,2.83926791,0.06426285000000001,2.83926791,2.77500506
2017-06-25,4,0,0,0,2,1,0.65787944,0.0428419,0.65787944,0.61503754
2017-06-26,2,1,0,0,2,21,3.4954556699999997,0.14992095,3.4954556699999997,3.34553472
2017-06-27,15,0,1,1,9,25,5.9249422,0.46938855,5.6483422,5.73215365
2017-06-28,126,3,4,6,23,2517,389.68995436,1.9753624,388.52851096,388.87603536
2017-06-29,23,0,1,1,10,95,17.253759430000002,0.4908095,16.97715943,17.039549930000003
2017-06-30,18,0,2,2,8,78,14.38463518,0.7245676000000001,13.83143518,14.21326758
2017-07-01,41,0,0,0,13,127,23.88447846,0.27847235000000004,23.88447846,23.60600611
2017-07-02,294,5,1,1,26,6669,1024.0002575899998,1.3689399500000001,1023.7236575899999,1022.9079176399998
2017-07-03,183,10,2,4,24,1729,279.78185283,2.1931367,279.17360943,278.19695953
2017-07-04,793,26,3,9,29,7641,1229.3164200800002,4.40019305,1228.3214898800002,1225.91115723
2017-07-05,49,0,4,4,13,156,30.22224284,1.3848723500000002,29.11584284,29.94377049
2017-07-06,122,4,4,5,22,803,135.27347652000003,2.0334988,134.13955482000003,134.37389942000001
2017-07-07,647,14,3,8,30,129,97.73805006999999,3.1091436999999997,96.77064157,95.59631486999999
2017-07-08,2012,60,0,0,29,48,248.98069867,7.04595055,248.98069867,241.93474812
2017-07-09,732,22,1,1,28,3472,603.2003106199999,3.2321257,602.92371062,600.2447849199998
2017-07-10,593,10,4,6,28,2910,503.29136263,2.8320204999999996,502.12991923,501.62078553
2017-07-11,130,2,1,1,25,478,87.03627534999998,1.0262818500000002,86.75967535,86.28659349999998
2017-07-12,50,2,0,0,15,105,21.93156235,0.53547235,21.93156235,21.39609
2017-07-13,122,1,1,1,21,599,103.84153311999998,0.8335190000000001,103.56493311999999,103.28461411999999
2017-07-14,19,0,3,4,12,22,6.592180689999999,1.1143731000000001,5.734858989999999,6.335129289999999
2017-07-15,2,0,0,0,2,1,0.42445862,0.0428419,0.42445862,0.38161672
2017-07-16,2,0,0,0,2,0,0.27626272,0.0428419,0.27626272,0.23342082
2017-07-17,5,0,2,2,4,2,1.51882765,0.6388838,0.96562765,1.43314385
2017-07-18,2,0,0,0,1,0,0.25484177,0.02142095,0.25484177,0.23342082
2017-07-19,2,0,1,1,2,2,0.8492545199999999,0.3194419,0.57265452,0.8064126199999999
2017-07-20,5,0,0,0,4,4,1.26201945,0.0856838,1.26201945,1.17633565
2017-07-23,1,0,0,0,1,1,0.28632726,0.02142095,0.28632726,0.26490631
2017-07-24,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-07-28,2,0,1,1,2,1,0.70105862,0.3194419,0.42445862,0.65821672
2017-08-01,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-08-02,2,0,0,0,2,0,0.27626272,0.0428419,0.27626272,0.23342082
2017-08-03,15,0,2,2,5,1,2.5591568,0.66030475,2.0059568,2.45205205
2017-08-04,3,0,0,0,3,0,0.41439408,0.06426285000000001,0.41439408,0.35013123
2017-08-07,1,0,1,1,1,0,0.41473136,0.29802095,0.13813136,0.39331041
2017-08-09,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
2017-08-15,1,0,0,0,1,0,0.13813136,0.02142095,0.13813136,0.11671041
